Property,Address,City,State,ZipCode,Phone,Unit,Beds,Baths,Beds_Baths,SqFt,Price,PricePerSqFt,RentalType,HasWasherDryer,HasAirConditioning,HasPool,HasSpa,HasGym,HasEVCharging,StorageFee,AllowsDogs,AllowsCats,ListingURL
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1413,1,1.0,1 Bed / 1 Bath,658.0,3157.0,4.8,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1513,1,1.0,1 Bed / 1 Bath,658.0,3182.0,4.84,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1613,1,1.0,1 Bed / 1 Bath,658.0,3233.0,4.91,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1210,1,1.0,1 Bed / 1 Bath,808.0,3331.0,4.12,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1510,1,1.0,1 Bed / 1 Bath,808.0,3635.0,4.5,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1304,1,1.0,1 Bed / 1 Bath,808.0,3432.0,4.25,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1904,1,1.0,1 Bed / 1 Bath,808.0,3964.0,4.91,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1704,1,1.0,1 Bed / 1 Bath,808.0,3635.0,4.5,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1611,1,1.0,1 Bed / 1 Bath,798.0,3537.0,4.43,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1801,1,1.0,1 Bed / 1 Bath,780.0,3700.0,4.74,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1814,1,1.0,1 Bed / 1 Bath,780.0,3852.0,4.94,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1205,1,1.0,1 Bed / 1 Bath,641.0,3000.0,4.68,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1405,1,1.0,1 Bed / 1 Bath,641.0,3025.0,4.72,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1307,1,1.0,1 Bed / 1 Bath,633.0,2980.0,4.71,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1413,1,1.0,1 Bed / 1 Bath,658.0,3157.0,4.8,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1513,1,1.0,1 Bed / 1 Bath,658.0,3182.0,4.84,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1613,1,1.0,1 Bed / 1 Bath,658.0,3233.0,4.91,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1210,1,1.0,1 Bed / 1 Bath,808.0,3331.0,4.12,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1510,1,1.0,1 Bed / 1 Bath,808.0,3635.0,4.5,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1304,1,1.0,1 Bed / 1 Bath,808.0,3432.0,4.25,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1904,1,1.0,1 Bed / 1 Bath,808.0,3964.0,4.91,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1704,1,1.0,1 Bed / 1 Bath,808.0,3635.0,4.5,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1611,1,1.0,1 Bed / 1 Bath,798.0,3537.0,4.43,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1801,1,1.0,1 Bed / 1 Bath,780.0,3700.0,4.74,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1814,1,1.0,1 Bed / 1 Bath,780.0,3852.0,4.94,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1709,1,1.0,1 Bed / 1 Bath,1064.0,4597.0,4.32,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
Radian,"675 9th Ave, San Diego, CA 92101",San Diego,CA,92101,8582216613,Unit 1909,1,1.0,1 Bed / 1 Bath,1064.0,4926.0,4.63,Apartment,True,True,True,False,True,False,,False,False,https://www.apartments.com/radian-san-diego-ca/709lz6y/
